organization_id,pipeline_type,content,language,references,ncbi_tax_id,scientific_name,rank,superkingdom,kingdom,phylum,class,order,family,genus,species,organization_name
1,Microbiome,"The human gut microbiota ferments dietary nondigestible carbohydrates into shortchain fatty acids (SCFA). These microbial products are utilized by the host and propionate and butyrate in particular exert a range of healthpromoting functions. Here an overview of the metabolic pathways utilized by gut microbes to produce these two SCFA from dietary carbohydrates and from amino acids resulting from protein breakdown is provided. This overview emphasizes the important role played by crossfeeding of intermediary metabolites (in particular lactate, succinate and 1,2propanediol) between different gut bacteria. The ecophysiology, including growth requirements and responses to environmental factors, of major propionate and butyrate producing bacteria are discussed in relation to dietary modulation of these metabolites. A detailed understanding of SCFA metabolism by the gut microbiota is necessary to underpin effective strategies to optimize SCFA supply to the host.",EN,"Formation of propionate and butyrate by the human colonic microbiota., https://pubmed.ncbi.nlm.nih.gov/27928878/",186802,Eubacteriales,order,Bacteria,Unknown,Bacillota,Clostridia,Eubacteriales,Unknown,Unknown,Unknown,Vars
1,Virome,"O pegivirus humano (HPgV1), anteriormente conhecido como GB virus C (GBVC) ou virus da hepatite G (HGV), e um virus de RNA positivo de fita simples pertencente ao genero Pegivirus da familia Flaviviridaefamilia. E transmitida por lesoes percutaneas (IPs), sangue e/ou hemoderivados contaminados, contato sexual e transmissao vertical de mae para filho. E amplamente prevalente na populacao em geral, especialmente em grupos de alto risco. A viremia do HPgV1 e normalmente eliminada nos primeiros 12 anos de infeccao na maioria dos individuos saudaveis, mas pode persistir por periodos mais longos em individuos imunocomprometidos e/ou naqueles coinfectados por outros virus. Um grande corpo de evidencias indica que a infeccao persistente por HPgV1 tem um efeito clinico benefico em muitas doencas infecciosas, como a sindrome da imunodeficiencia adquirida (AIDS) e a hepatite C. Os efeitos beneficos parecem estar relacionados a uma reducao significativa da ativacao imune e /ou a habitacao de",PT_BR,"Revisão do pegivírus humano: prevalência, transmissão, patogênese e implicações clínicas, https://pubmed.ncbi.nlm.nih.gov/35132924/",1985356,Pegivirus C,Species,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Pegivirus,Pegivirus hominis,Vars
1,Metagenomic,"To date, limited information is available on cytomegalovirus (CMV) and lymphocryptovirus (LCV) from Chlorocebus monkeys. We report here high detection rates of herpesviruses in freeroaming African green monkeys (AGMs, Chlorocebus sabaeus) (26.4%, 23/87) and in captive AGMs (75%, 3/4) with respiratory disease on the Caribbean Island of St. Kitts. LCV (81.25%) was more prevalent than CMV (18.75%) in the AGMs. Applying a bigenic PCR approach (targeting DNA polymerase (DPOL) and glycoprotein B (gB) genes), long sequences were obtained from representative AGM CMV (KNASD6) and LCV (KNAE4, N6 and R15) samples, and mixed LCV infections were identified in KNAN6 and R15.",PT_BR,"Mancuso DM, Gainor K, Dore KM, Gallagher CA, Beierschmitt A, Malik YS, Ghosh S. Molecular Detection and Genetic Diversity of Cytomegaloviruses and Lymphocryptoviruses in Free-Roaming and Captive African Green Monkeys (Chlorocebus sabaeus). Int J Mol Sci. 2024 Mar 14;25(6):3272. doi: 10.3390/ijms25063272. PMID: 38542246; PMCID: PMC10970604., ",571,Klebsiella oxytoca,Species,Bacteria,Unknown,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella oxytoca,Vars
1,Virome,Virus que infectam bacterias.,PT_BR,"REFERENCIAS, https://www.google.com/",463676,Rhinovirus C,Species,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Enterovirus,Rhinovirus C,Vars
1,Metagenomic,"To date, limited information is available on cytomegalovirus (CMV) and lymphocryptovirus (LCV) from Chlorocebus monkeys. We report here high detection rates of herpesviruses in freeroaming African green monkeys (AGMs, Chlorocebus sabaeus) (26.4%, 23/87) and in captive AGMs (75%, 3/4) with respiratory disease on the Caribbean Island of St. Kitts. LCV (81.25%) was more prevalent than CMV (18.75%) in the AGMs. Applying a bigenic PCR approach (targeting DNA polymerase (DPOL) and glycoprotein B (gB) genes), long sequences were obtained from representative AGM CMV (KNASD6) and LCV (KNAE4, N6 and R15) samples, and mixed LCV infections were identified in KNAN6 and R15.",PT_BR,"Mancuso DM, Gainor K, Dore KM, Gallagher CA, Beierschmitt A, Malik YS, Ghosh S. Molecular Detection and Genetic Diversity of Cytomegaloviruses and Lymphocryptoviruses in Free-Roaming and Captive African Green Monkeys (Chlorocebus sabaeus). Int J Mol Sci. 2024 Mar 14;25(6):3272. doi: 10.3390/ijms25063272. PMID: 38542246; PMCID: PMC10970604., ",1463165,Klebsiella quasipneumoniae,Species,Bacteria,Unknown,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella quasipneumoniae,Vars
1,Virome,Streptococcus parasuis INTERPRETACAO,PT_BR,"Streptococcus parasuis BACTERIAS ., ",1501662,Streptococcus parasuis,Species,Bacteria,Unknown,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus parasuis,Vars
1,Virome,"O virus da Hepatite A, ou HAV, e membro do genero Hepatovirus da familia Picornaviridae. Membros desta familia apresentam genoma de RNA simplesfita sensopositivo de aproximadamente 7500 pb. HAV e o agente etiologico da Hepatite A, uma doenca com manifestacao aguda e autolimitada. Atualmente sao conhecidos 3 genotipos de HAV que infectam humanos (I, II, III), e dentre estes, varios subtipos que refletem sua moderada diversidade genetica. A maioria dos genotipos humanos sao do grupo I, sendo o genotipo IA o mais frequente no Brasil (Paula et al., 2002).Por meio da tecnica empregada neste exame, foi possivel a recuperacao do genoma parcial ou completo de um hepatovirus A.",PT_BR,"Paula, Vanessa S., et al. ""Characterization of hepatitis A virus isolates from subgenotypes IA and IB in Rio de Janeiro, Brazil."" Journal of medical virology 66.1 (2002): 22-27., ",12092,Hepatovirus A,Species,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Hepatovirus,Hepatovirus A,Vars
1,Metagenomic,"O virus da Hepatite A, ou HAV, e membro do genero Hepatovirus da familia Picornaviridae. Membros desta familia apresentam genoma de RNA simplesfita sensopositivo de aproximadamente 7500 pb. HAV e o agente etiologico da Hepatite A, uma doenca com manifestacao aguda e autolimitada. Atualmente sao conhecidos 3 genotipos de HAV que infectam humanos (I, II, III), e dentre estes, varios subtipos que refletem sua moderada diversidade genetica. A maioria dos genotipos humanos sao do grupo I, sendo o genotipo IA o mais frequente no Brasil (Paula et al., 2002). Por meio da tecnica empregada neste exame, foi possivel a recuperacao do genoma parcial ou completo de um hepatovirus A.",PT_BR,"Paula, Vanessa S., et al. ""Characterization of hepatitis A virus isolates from subgenotypes IA and IB in Rio de Janeiro, Brazil."" Journal of medical virology 66.1 (2002): 22-27., ",12092,Hepatovirus A,Species,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Hepatovirus,Hepatovirus A,Vars
2,Virome,"O virus da Hepatite A, ou HAV, e membro do genero Hepatovirus da familia Picornaviridae. Membros desta familia apresentam genoma de RNA simplesfita sensopositivo de aproximadamente 7500 pb. HAV e o agente etiologico da Hepatite A, uma doenca com manifestacao aguda e autolimitada. Atualmente sao conhecidos 3 genotipos de HAV que infectam humanos (I, II, III), e dentre estes, varios subtipos que refletem sua moderada diversidade genetica. A maioria dos genotipos humanos sao do grupo I, sendo o genotipo IA o mais frequente no Brasil (Paula et al., 2002). Por meio da tecnica empregada neste exame, foi possivel a recuperacao do genoma parcial ou completo de um hepatovirus A.",PT_BR,"Paula, Vanessa S., et al. ""Characterization of hepatitis A virus isolates from subgenotypes IA and IB in Rio de Janeiro, Brazil."" Journal of medical virology 66.1 (2002): 22-27., ",12092,Hepatovirus A,Species,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Hepatovirus,Hepatovirus A,HIAE
2,Metagenomic,"O virus da Hepatite A, ou HAV, e membro do genero Hepatovirus da familia Picornaviridae. Membros desta familia apresentam genoma de RNA simplesfita sensopositivo de aproximadamente 7500 pb. HAV e o agente etiologico da Hepatite A, uma doenca com manifestacao aguda e autolimitada. Atualmente sao conhecidos 3 genotipos de HAV que infectam humanos (I, II, III), e dentre estes, varios subtipos que refletem sua moderada diversidade genetica. A maioria dos genotipos humanos sao do grupo I, sendo o genotipo IA o mais frequente no Brasil (Paula et al., 2002). Por meio da tecnica empregada neste exame, foi possivel a recuperacao do genoma parcial ou completo de um hepatovirus A.",PT_BR,"Paula, Vanessa S., et al. ""Characterization of hepatitis A virus isolates from subgenotypes IA and IB in Rio de Janeiro, Brazil."" Journal of medical virology 66.1 (2002): 22-27., ",12092,Hepatovirus A,Species,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Hepatovirus,Hepatovirus A,HIAE
2,Metagenomic,"Corynebacterium bovis e um bacilo Gram positivo, anaerobio facultativo da familia das Corynebacteriaceae. As infeccoes de maior incidencia sao em animais e, ocasionalmente, e reportado como patogeno oportunista em humanos causando infeccoes oculares e proteticas articulares, bem como abscessos.",PT_BR,"Cheleuitte-Nieves C, Gulvik CA, McQuiston JR, Humrighouse BW, Bell ME, Villarma A, Fischetti VA, Westblade LF, Lipman NS. Genotypic differences between strains of the opportunistic pathogen <i>Corynebacterium bovis</i> isolated from humans, cows, and rodents. PLoS One. 2018 Dec 26;13(12):e0209231. doi: 10.1371/journal.pone.0209231., ",36808,Corynebacterium bovis,Species,Bacteria,Unknown,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium bovis,HIAE
2,Virome,"Os coronavirus humanos (HCoVsOC43, HCoVs 229E, HCoVs NL63 e HCoVsHKU1) apresentam distribuicao mundial e sao responsaveis por infeccoes do trato respiratorio superior e inferior. Sao considerados a segunda causa mais comum de resfriado (Davis et al., 2018). HCoVsHKU1 e HCoVNL63 podem causar em determinados grupos de risco (criancas, idosos e pacientes imunocomprometidos) quadros de bronquiolite e pneumonia. Mais recentemente, um novo virus designado de SARSCoV2 se tornou responsavel pela pandemia mundial da sindrome respiratoria COVID19. Atraves da tecnica empregada neste exame, foi possivel a recuperacao do genoma completo ou parcial de um Coronavirus.",PT_BR,"Davis, Brian M., et al. ""Human coronaviruses and other respiratory infections in young adults on a university campus: prevalence, symptoms, and shedding."" Influenza and other respiratory viruses 12.5 (2018): 582-590., ",277944,Human coronavirus NL63,Species,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Human coronavirus NL63,HIAE
2,Metagenomic,"Os coronavirus humanos (HCoVsOC43, HCoVs 229E, HCoVs NL63 e HCoVsHKU1) apresentam distribuicao mundial e sao responsaveis por infeccoes do trato respiratorio superior e inferior. Sao considerados a segunda causa mais comum de resfriado (Davis et al., 2018). O HCoVsHKU1 e HCoVNL63 podem causar em determinados grupos de risco (criancas, idosos e pacientes imunocomprometidos) quadros de bronquiolite e pneumonia. Mais recentemente, um novo virus designado de SARSCoV2 se tornou responsavel pela pandemia mundial da sindrome respiratoria COVID19.",PT_BR,"Davis, Brian M., et al. ""Human coronaviruses and other respiratory infections in young adults on a university campus: prevalence, symptoms, and shedding."" Influenza and other respiratory viruses 12.5 (2018): 582-590., ",277944,Human coronavirus NL63,Species,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Human coronavirus NL63,HIAE
2,Metagenomic,"O genero Pseudomonas compreende inumeras especies de bacterias Gramnegativas nao fermentadoras de glicose. Geralmente sao bacterias oportunistas que podem ser encontradas no ambiente, alimentos e agua. Entretanto, e um dos patogenos mais comumente causadores de infeccoes relacionadas a assistencia a saude, potencialmente, podendo apresentar resistencia a diversos grupos de antimicrobianos.",PT_BR,"CDC 2023. Disponível em: https://www.cdc.gov/hai/organisms/pseudomonas.html, ",306,Pseudomonas sp.,Species,Bacteria,Unknown,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp.,HIAE
2,Metagenomic,"Escherichia coli e um bacilo gramnegativo da ordem Enterobacterales e faz parte da microbiota intestinal. Algumas cepas podem ser patogenicas, causando principalmente doencas gastrointestinais, infeccao urinaria, infeccao de corrente sanguinea e sitio cirurgico.Apesar de pouco frequente, tambem pode estar associada a infeccoes osteoarticulares como espondilodiscite. Dentre os fatores de risco para essas infeccoes destacamse idade avancada, imunossupressao, diabetes mellitus, uso prolongado de corticosteroides e procedimentos cirurgicos. Este resultado deve ser correlacionado com historica epidemiologica, sinais e sintomas clinicos e demais exames laboratoriais/imagem.",PT_BR,"Referência: Syed A, Afshan R, Tserenpil G, Manasrah N, Chippi GM, Shaik Mohammed AF. Escherichia Coli Vertebral Osteomyelitis: A Case Report. Cureus. 2023 Mar 17;15(3):e36286. doi: 10.7759/cureus.36286. PMID: 37073191; PMCID: PMC10105975., ",562,Escherichia coli,Species,Bacteria,Unknown,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,HIAE
2,Virome,"O virus da Hepatite C, tambem conhecido como Hepacivirus C ou HCV, e membro do genero Hepacivirus da familia Flaviviridae. Membros desta familia apresentam genoma de RNA simplesfita sensopositivo de aproximadamente 10,000 pb. HCV e o agente etiologico da Hepatite C, uma doenca de manifestacao aguda ou cronica. Atualmente sao conhecidos 6 genotipos de HCV (16), e dentre estes, varios subtipos que refletem sua alta diversidade genetica. Os genotipos 1a, 1b e 3a saode abrangencia mundial associados com a maioria dos casos reportados. O genotipo 4 sao de alta prevalencia na Africa e Oriente medio, enquanto o genotipo 5 e geralmente encontrado na Africa. Por fim, o genotipo 6 e encontrado predomitemente no continente asiatico (Messina, et al., 2015). Atraves da tecnica empregada neste exame, foi possivel a recuperacao do genoma completo ou parcial do virus HCV.",PT_BR,"Messina, Jane P., et al. ""Global distribution and prevalence of hepatitis C virus genotypes."" Hepatology 61.1 (2015): 77-87., ",3052230,Hepacivirus hominis,Species,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Hepacivirus,Hepacivirus hominis,HIAE
2,Virome,"The Hepatitis virus C virus, also known as Hepacivirus C or HCV, is a member of the Hepacivirus genus in the Flaviviridae family. Members of this family present singlestranded positive sense RNA genomes of approximately 10,000 bp. HCV is the etiological agent of Hepatitis C, a disease of acute or chronicmanifestation. Currently, 6 genotypes of HCV are known (16), and several subgenotypes indicating high diversity. The genotypes 1a, 1b and 3a are distributed worldwide and correspond to most of the cases reported annually. Genotype 4 is prevalent in Africa and Middle East, while genotype 5 is prevalent in Africa. Finally, genotype 6 is mostly reported in Asia (Messina et al., 2015). Using this technique, it was possible to identify a complete or partial genome of the Hepatitis C virus.",EN,"Messina, Jane P., et al. ""Global distribution and prevalence of hepatitis C virus genotypes."" Hepatology 61.1 (2015): 77-87., ",3052230,Hepacivirus hominis,Species,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Hepacivirus,Hepacivirus hominis,HIAE
2,Metagenomic,"O virus da Hepatite C, tambem conhecido como Hepacivirus C ou HCV, e membro do genero Hepacivirus da familia Flaviviridae. Membros desta familia apresentam genoma de RNA simplesfita sensopositivo de aproximadamente 10,000 pb. HCV e o agente etiologico da Hepatite C, uma doenca de manifestacao aguda ou cronica. Atualmente sao conhecidos 6 genotipos de HCV (16), e dentre estes, varios subtipos que refletem sua alta diversidade genetica. Os genotipos 1a, 1b e 3a sao de abrangencia mundial associados com a maioria dos casos reportados. O genotipo 4 sao de alta prevalencia na Africa e Oriente medio, enquanto o genotipo 5 e geralmente encontrado na Africa. Por fim, o genotipo 6 e encontrado predomitemente no continente asiatico (Messina, et al., 2015). Atraves da tecnica empregada neste exame, foi possivel a recuperacao do genoma completo ou parcial do virus HCV.",PT_BR,"Messina, Jane P., et al. ""Global distribution and prevalence of hepatitis C virus genotypes."" Hepatology 61.1 (2015): 77-87., ",3052230,Hepacivirus hominis,Species,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Hepacivirus,Hepacivirus hominis,HIAE
